topic,type,text,option1,option2,option3,option4,correctAnswer
Aktör och struktur - Lektion 2: Julikrisen,FREE_TEXT,Hade första världskriget kunnat undvikas om en specifik aktör hade handlat annorlunda under julikrisen? Ge ett konkret exempel och motivera.,,,,
Aktör och struktur - Lektion 2: Julikrisen,MULTIPLE_CHOICE,I vilken ordning skedde dessa händelser under julikrisen?,Rysk mobilisering → Mordet i Sarajevo → Österrikiskt ultimatum → Brittisk krigsförklaring,Mordet i Sarajevo → Österrikiskt ultimatum → Rysk mobilisering → Tyskland anfaller Frankrike,Österrikiskt ultimatum → Mordet i Sarajevo → Tyskland anfaller Frankrike → Rysk mobilisering,Mordet i Sarajevo → Rysk mobilisering → Österrikiskt ultimatum → Brittisk krigsförklaring,Mordet i Sarajevo → Österrikiskt ultimatum → Rysk mobilisering → Tyskland anfaller Frankrike
Aktör och struktur - Lektion 3: Skyttegravarna och världen,MULTIPLE_CHOICE,Varför uppstod ett dödläge på västfronten?,Eftersom båda sidor vägrade att anfalla,Eftersom moderna försvarsvapen (kulsprutor och taggtråd) gjorde anfall extremt kostsamma,Eftersom generalerna kom överens om vapenvila,Eftersom soldaterna på båda sidor deserterade,Eftersom moderna försvarsvapen (kulsprutor och taggtråd) gjorde anfall extremt kostsamma
Aktör och struktur - Lektion 3: Skyttegravarna och världen,MULTIPLE_CHOICE,Hur förändrade kriget kvinnors roll i samhället?,Kvinnor fick rösträtt direkt när kriget bröt ut,Kvinnor tog över arbeten inom industri och tjänstesektor som tidigare varit stängda för dem,Kvinnor fick bara arbeta som sjuksköterskor vid fronten,Kvinnors situation förändrades inte nämnvärt under kriget,Kvinnor tog över arbeten inom industri och tjänstesektor som tidigare varit stängda för dem
Aktör och struktur - Lektion 3: Skyttegravarna och världen,MULTIPLE_CHOICE,Vad drog in USA i första världskriget?,Att Japan anföll amerikanska fartyg,Att Tysklands ubåtskrig sänkte civila fartyg,Att Frankrike bad om amerikanskt stöd,Att ett terrorattentat skedde i New York,Att Tysklands ubåtskrig sänkte civila fartyg
Aktör och struktur - Lektion 3: Skyttegravarna och världen,FREE_TEXT,"Under krigets förlopp - ökade eller minskade aktörernas (generaler, politiker) handlingsutrymme? Motivera med ett konkret exempel.",,,,
Aktör och struktur - Lektion 3: Skyttegravarna och världen,MULTIPLE_CHOICE,"Vid slaget vid Somme 1916, hur många brittiska soldater föll under krigets blodigaste dag?",10 000,30 000,60 000,100 000,60 000
Aktör och struktur - Lektion 3: Skyttegravarna och världen,MULTIPLE_CHOICE,Varför var första världskriget inte bara ett europeiskt krig?,Eftersom det utkämpades i Europa men finansierades av USA,Eftersom koloniala soldater från Indien och Afrika stred på fronterna och konflikter spreds till Mellanöstern,Eftersom Japan erövrade europeiska kolonier i Asien,Eftersom Sydamerika skickade trupper till västfronten,Eftersom koloniala soldater från Indien och Afrika stred på fronterna och konflikter spreds till Mellanöstern
Aktör och struktur - Lektion 4: Var kriget oundvikligt?,MULTIPLE_CHOICE,"Enligt strukturperspektivet (t.ex. Fischer), varför var kriget närmast oundvikligt?",Eftersom Wilhelm II personligen ville ha krig,Eftersom allianssystemet och militär planering skapade en automatisk eskaleringslogik,Eftersom Serbien provocerade Österrike-Ungern medvetet,Eftersom alla europeiska folkslag ville ha krig,Eftersom allianssystemet och militär planering skapade en automatisk eskaleringslogik
Aktör och struktur - Lektion 4: Var kriget oundvikligt?,MULTIPLE_CHOICE,"Enligt aktörsperspektivet (t.ex. Clark), varför var kriget INTE oundvikligt?",Eftersom strukturerna inte spelade någon roll alls,Eftersom ledarna 'sömngick' in i kriget och missade chanser att stoppa det,Eftersom bara en person (Wilhelm II) orsakade kriget,Eftersom tekniken inte var tillräckligt utvecklad för krig,Eftersom ledarna 'sömngick' in i kriget och missade chanser att stoppa det
Aktör och struktur - Lektion 4: Var kriget oundvikligt?,FREE_TEXT,"Var första världskriget oundvikligt, eller hade det kunnat stoppas? Ta ställning och motivera med minst två konkreta historiska exempel.",,,,
Aktör och struktur - Lektion 4: Var kriget oundvikligt?,MULTIPLE_CHOICE,Vilket påstående beskriver bäst förhållandet mellan aktör och struktur?,Aktörer bestämmer alltid - strukturer spelar ingen roll,Strukturer bestämmer alltid - aktörer är maktlösa,Strukturer skapar förutsättningarna men aktörers beslut avgör om något faktiskt händer,Aktör och struktur är samma sak,Strukturer skapar förutsättningarna men aktörers beslut avgör om något faktiskt händer
Aktör och struktur - Lektion 4: Var kriget oundvikligt?,MULTIPLE_CHOICE,"Om vi säger att kriget var helt oundvikligt (strukturstyrt), vad blir konsekvensen för ansvarsfrågan?",Alla var lika ansvariga,Ingen var egentligen ansvarig - det var systemets fel,Bara generalerna var ansvariga,Serbien bar hela skulden,Ingen var egentligen ansvarig - det var systemets fel
Aktör och struktur - Övergripande,MULTIPLE_CHOICE,Vilket av följande är en strukturell orsak till första världskriget?,Mordet på Franz Ferdinand i Sarajevo,Allianssystemet som delade Europa i två läger,Wilhelms beslut att ge Österrike-Ungern en blankofullmakt,Sir Edward Greys tal i parlamentet,Allianssystemet som delade Europa i två läger
Aktör och struktur - Övergripande,MULTIPLE_CHOICE,Schlieffenplanen är ett intressant exempel eftersom den visar att...,Militär planering alltid leder till krig,Ett beslut fattat av aktörer (generalstaben) kan bli en struktur som begränsar framtida aktörer,Strukturer aldrig kan förändras av aktörer,Bara militära ledare kan starta krig,Ett beslut fattat av aktörer (generalstaben) kan bli en struktur som begränsar framtida aktörer
Aktör och struktur - Övergripande,FREE_TEXT,"Jämför julikrisen (L2) med krigets förlopp (L3). Var aktörernas handlingsutrymme större före eller under kriget? Motivera ditt svar med konkreta exempel från båda perioderna.",,,,
Aktör och struktur - Övergripande,MULTIPLE_CHOICE,"Vilken förändring under kriget är BÅDE aktörs- och strukturdriven, enligt perspektivanalysen?",Skyttegravskrigets uppkomst,Kvinnors inträde på arbetsmarknaden,Mordet i Sarajevo,Schlieffenplanens aktivering,Kvinnors inträde på arbetsmarknaden
Aktör och struktur - Övergripande,FREE_TEXT,Hur kan begreppen aktör och struktur användas för att analysera andra historiska händelser - inte bara första världskriget? Ge ett eget exempel.,,,,
Aktör och struktur - Övergripande,MULTIPLE_CHOICE,"Vad innebär det att resonera 'nyanserat' om aktör och struktur (A-nivå)?",Att välja en sida och argumentera starkt för den,Att redogöra för båda perspektiven och problematisera uppdelningen genom att visa att gränsen ofta är oklar,Att nämna så många fakta som möjligt,Att citera historiker vid namn,Att redogöra för båda perspektiven och problematisera uppdelningen genom att visa att gränsen ofta är oklar
