topic,type,text,option1,option2,option3,option4,correctAnswer
Världskrigen - Lektion 5: WW2 bryter ut,MULTIPLE_CHOICE,Vad var en viktig likhet mellan orsakerna till WW1 och WW2?,Nationalism spelade en viktig roll i båda krigen,Båda krigen startade i Sarajevo,Allianssystemen var identiska,USA startade båda krigen,Nationalism spelade en viktig roll i båda krigen
Världskrigen - Lektion 5: WW2 bryter ut,FREE_TEXT,Nämn en likhet och en skillnad mellan orsakerna till WW1 och WW2.,,,,
Världskrigen - Lektion 6: Förintelsen del 1,MULTIPLE_CHOICE,Vad var Nürnberglagarna 1935?,Lagar som tog bort judars medborgerliga rättigheter,Lagar som grundade Nationernas förbund,Krigsregler för behandling av fångar,Lagar som förbjöd nazistpartiet,Lagar som tog bort judars medborgerliga rättigheter
Världskrigen - Lektion 6: Förintelsen del 1,MULTIPLE_CHOICE,Vad hände under Kristallnatten 1938?,Organiserat våld mot judar - synagogor brändes och butiker krossades,Judarna fick flytta till ghetton,Förintelselägren öppnades,Hitler blev rikskansler,Organiserat våld mot judar - synagogor brändes och butiker krossades
Världskrigen - Lektion 6: Förintelsen del 1,MULTIPLE_CHOICE,"Varför eskalerade förföljelsen av judar stegvis istället för att ske på en gång?","Varje steg normaliserade det föregående och möjliggjorde nästa","Hitler hade inte bestämt sig från början","Militären vägrade genomföra det","Omvärlden stoppade varje försök","Varje steg normaliserade det föregående och möjliggjorde nästa"
Världskrigen - Lektion 6: Förintelsen del 1,MULTIPLE_CHOICE,Vilken roll spelade propaganda i Förintelsen?,Den avhumaniserade judar och fick folk att sluta se dem som medmänniskor,Den användes bara för att rekrytera soldater,Propaganda hade ingen viktig roll,Den spred information om vad som hände i lägren,Den avhumaniserade judar och fick folk att sluta se dem som medmänniskor
Världskrigen - Lektion 6: Förintelsen del 1,FREE_TEXT,Beskriv två steg i eskaleringen mot Förintelsen.,,,,
Världskrigen - Lektion 6: Förintelsen del 1,FREE_TEXT,Förklara en faktor som möjliggjorde Förintelsen (t.ex. propaganda eller byråkrati).,,,,
Världskrigen - Lektion 7: Förintelsen del 2,MULTIPLE_CHOICE,Hur många judar mördades under Förintelsen?,Cirka 6 miljoner,Cirka 1 miljon,Cirka 20 miljoner,Cirka 100 000,Cirka 6 miljoner
Världskrigen - Lektion 7: Förintelsen del 2,MULTIPLE_CHOICE,Vilka andra grupper förutom judar drabbades av Förintelsen?,Romer och funktionsnedsatta bland andra,Bara politiska motståndare,Bara krigsfångar,Ingen annan grupp drabbades,Romer och funktionsnedsatta bland andra
Världskrigen - Lektion 7: Förintelsen del 2,MULTIPLE_CHOICE,"Varför agerade inte omvärlden kraftfullare mot Förintelsen?","Flera orsaker: antisemitism även i andra länder, fokus på kriget, ovilja att ta emot flyktingar","Omvärlden visste inte om Förintelsen","Det var olagligt att blanda sig i","Alla länder stödde Nazityskland","Flera orsaker: antisemitism även i andra länder, fokus på kriget, ovilja att ta emot flyktingar"
Världskrigen - Lektion 7: Förintelsen del 2,FREE_TEXT,Hur kunde Förintelsen ske? Använd minst två förklaringar i ditt svar.,,,,
Världskrigen - Lektion 7: Förintelsen del 2,FREE_TEXT,Ge en förklaring till varför omvärlden inte agerade kraftfullare mot Förintelsen.,,,,
Världskrigen - Lektion 8: WW2 konsekvenser,MULTIPLE_CHOICE,Vad var Nürnbergrättegångarna?,Rättegångar där nazistiska ledare dömdes för brott mot mänskligheten,Fredsförhandlingar efter kriget,Rättegångar mot de allierades krigföring,Möten där FN grundades,Rättegångar där nazistiska ledare dömdes för brott mot mänskligheten
Världskrigen - Lektion 8: WW2 konsekvenser,MULTIPLE_CHOICE,Vilka två supermakter dominerade världen efter WW2?,USA och Sovjetunionen,Storbritannien och Frankrike,Tyskland och Japan,Kina och USA,USA och Sovjetunionen
Världskrigen - Lektion 8: WW2 konsekvenser,MULTIPLE_CHOICE,Vad var järnridån?,Den osynliga gränsen som delade Europa i väst och öst,En faktisk mur genom hela Europa,Ett handelsavtal mellan öst och väst,Ett militärt försvarssystem,Den osynliga gränsen som delade Europa i väst och öst
Världskrigen - Lektion 8: WW2 konsekvenser,MULTIPLE_CHOICE,Varför grundades FN 1945?,För att förhindra nya världskrig - man sa aldrig igen,För att straffa Tyskland,För att dela upp Europas kolonier,För att sprida demokrati med våld,För att förhindra nya världskrig - man sa aldrig igen
Världskrigen - Lektion 8: WW2 konsekvenser,FREE_TEXT,Välj en konsekvens av WW2 och förklara varför den var viktig.,,,,
Världskrigen - Övergripande,MULTIPLE_CHOICE,"Vilken röd tråd binder ihop WW1 och WW2?","Konsekvenserna av WW1 blev orsaker till WW2","Samma länder startade båda krigen","Samma allianser fanns i båda krigen","Krigen hade exakt samma orsaker","Konsekvenserna av WW1 blev orsaker till WW2"
Världskrigen - Övergripande,MULTIPLE_CHOICE,"Vilket av dessa begrepp kopplar INTE direkt till orsakerna bakom världskrigen?",Marshallplanen,Nationalism,Imperialism,Allianssystem,Marshallplanen
Världskrigen - Övergripande,MULTIPLE_CHOICE,"Vad hade Versaillesfreden och Förintelsen gemensamt?","Båda var konsekvenser av krig som i sin tur fick nya konsekvenser","De hade inget gemensamt","Båda planerades av samma person","Båda skedde samma år","Båda var konsekvenser av krig som i sin tur fick nya konsekvenser"
Världskrigen - Övergripande,MULTIPLE_CHOICE,"Vilken av dessa faktorer var viktigast för att Förintelsen kunde ske?","Flera faktorer samverkade - ingen enskild faktor räcker som förklaring","Bara Hitlers vilja","Bara propaganda","Bara byråkratin","Flera faktorer samverkade - ingen enskild faktor räcker som förklaring"
Världskrigen - Övergripande,FREE_TEXT,Förklara hur konsekvenserna av första världskriget blev orsaker till andra världskriget. Ge minst två exempel.,,,,
Världskrigen - Övergripande,FREE_TEXT,"Jämför de två världskrigen: vilka likheter och skillnader ser du när det gäller orsaker, händelseförlopp och konsekvenser?",,,,
Världskrigen - Övergripande,FREE_TEXT,"Om du fick förklara hela momentets röda tråd i fem meningar, vad skulle du skriva?",,,,
