topic,type,text,option1,option2,option3,option4,correctAnswer
Första världskriget - Lektion 4: Hela världens världskrig?,MULTIPLE_CHOICE,"Varför kan det vara problematiskt att kalla konflikten 1914-1918 för ett 'världskrig'?",Eftersom kriget bara varade i fyra år,Eftersom historieskrivningen ofta är eurocentrisk och osynliggör många deltagares perspektiv,Eftersom det bara dog européer,Eftersom konflikten inte var särskilt stor,Eftersom historieskrivningen ofta är eurocentrisk och osynliggör många deltagares perspektiv
Första världskriget - Lektion 4: Hela världens världskrig?,MULTIPLE_CHOICE,Vilken roll spelade Osmanska riket i första världskriget?,Det var neutralt under hela kriget,Det stred på centralmakternas sida och krigets konsekvenser omformade Mellanöstern,Det stred på ententens sida,Det existerade inte längre vid krigsutbrottet,Det stred på centralmakternas sida och krigets konsekvenser omformade Mellanöstern
Första världskriget - Lektion 4: Hela världens världskrig?,MULTIPLE_CHOICE,"Begreppet 'eurocentrism' i historieskrivning innebär att:",Man bara studerar europeisk historia,Europa framställs som världens centrum och andra perspektiv marginaliseras,Europeiska historiker alltid har rätt,Europa var viktigast under alla tidsepoker,Europa framställs som världens centrum och andra perspektiv marginaliseras
Första världskriget - Lektion 4: Hela världens världskrig?,FREE_TEXT,"Jämför hur en europeisk soldat och en kolonial soldat från exempelvis Indien eller Senegal kunde ha upplevt första världskriget olika. Vad skilde deras situationer åt?",,,,
Första världskriget - Lektion 4: Hela världens världskrig?,FREE_TEXT,"Varför saknas ofta utomeuropeiska perspektiv i berättelsen om första världskriget? Diskutera med hjälp av begreppet historiebruk.",,,,
Första världskriget - Lektion 5: Versailles och efterkrigstiden,MULTIPLE_CHOICE,"Vad innebar krigsskuldsparagrafen i Versaillesfreden?",Att alla länder delade på skulden för kriget,Att Tyskland ensamt fick bära skulden för kriget och betala skadestånd,Att krigets offer fick ekonomisk ersättning,Att Frankrike erkände sin skuld,Att Tyskland ensamt fick bära skulden för kriget och betala skadestånd
Första världskriget - Lektion 5: Versailles och efterkrigstiden,MULTIPLE_CHOICE,Vilket av följande var en konsekvens av Versaillesfreden?,Europa fick bestående fred,Nya stater bildades och Europas karta ritades om,Tyskland blev starkare militärt,Osmanska riket expanderade,Nya stater bildades och Europas karta ritades om
Första världskriget - Lektion 5: Versailles och efterkrigstiden,MULTIPLE_CHOICE,"Begreppet 'kontinuitet' i historisk analys syftar på:",Saker som förändras snabbt,Mönster och strukturer som består trots att händelser inträffar,Att historien alltid upprepar sig exakt,Att ingenting någonsin förändras,Mönster och strukturer som består trots att händelser inträffar
Första världskriget - Lektion 5: Versailles och efterkrigstiden,MULTIPLE_CHOICE,"Varför anses Versaillesfreden ha bidragit till framtida konflikter?",Den var för mild mot förlorarna,De hårda villkoren skapade bitterhet och ekonomisk kris som nationalistiska rörelser utnyttjade,Den gav Tyskland för mycket makt,Den ignorerade Frankrike helt,De hårda villkoren skapade bitterhet och ekonomisk kris som nationalistiska rörelser utnyttjade
Första världskriget - Lektion 5: Versailles och efterkrigstiden,FREE_TEXT,"Kan fred leda till krig? Diskutera med utgångspunkt i Versaillesfreden.",,,,
Första världskriget - Lektion 5: Versailles och efterkrigstiden,FREE_TEXT,"Nämn en konsekvens av Versaillesfreden som bidrog till framtida konflikter och förklara sambandet.",,,,
Första världskriget - Lektion 6: Sammanfattning,MULTIPLE_CHOICE,"Vilket av följande historiska begrepp handlar om att analysera VARFÖR något hände och vad som följde?",Aktör och struktur,Kontinuitet och förändring,Orsak och konsekvens,Historiebruk,Orsak och konsekvens
Första världskriget - Lektion 6: Sammanfattning,MULTIPLE_CHOICE,"Vilken av följande påståenden beskriver bäst första världskrigets långsiktiga konsekvenser?",Kriget hade inga långsiktiga konsekvenser,Kriget ledde till nya gränser och politisk instabilitet som bidrog till framtida konflikter och omformade hela världsordningen,Kriget löste alla konflikter i Europa,Kriget påverkade bara de länder som förlorade,Kriget ledde till nya gränser och politisk instabilitet som bidrog till framtida konflikter och omformade hela världsordningen
Första världskriget - Lektion 6: Sammanfattning,FREE_TEXT,"Var första världskriget hela världens världskrig? Motivera ditt svar med hjälp av minst tre historiska begrepp.",,,,
Första världskriget - Övergripande,MULTIPLE_CHOICE,"Vilka två allianser stod mot varandra vid krigsutbrottet 1914?",NATO och Warszawapakten,Ententen och centralmakterna,Axelmakterna och de allierade,Folkförbundet och Nationernas förbund,Ententen och centralmakterna
Första världskriget - Övergripande,MULTIPLE_CHOICE,"Vilket av följande är ett exempel på att använda begreppet 'struktur' för att förklara krigsutbrottet?",Gavrilo Princip sköt ärkehertig Franz Ferdinand,Allianssystemet och kapprustningen skapade en situation där ett litet krig lätt kunde eskalera,Kaiser Wilhelm bestämde sig för att stödja Österrike,En serbisk nationalist planerade attentatet,Allianssystemet och kapprustningen skapade en situation där ett litet krig lätt kunde eskalera
Första världskriget - Övergripande,MULTIPLE_CHOICE,"Vad innebär 'historiebruk'?",Att studera historia i skolan,Att historia används i olika sammanhang för att skapa identitet eller påverka människors värderingar,Att historiker skriver böcker,Att man bevarar gamla byggnader,Att historia används i olika sammanhang för att skapa identitet eller påverka människors värderingar
Första världskriget - Övergripande,MULTIPLE_CHOICE,"En historiker som analyserar första världskriget 'ur flera perspektiv' gör följande:",Skriver en längre text,Undersöker händelsen från olika aktörers synvinklar och väger deras erfarenheter mot varandra,Läser fler böcker,Fokuserar bara på det viktigaste perspektivet,Undersöker händelsen från olika aktörers synvinklar och väger deras erfarenheter mot varandra
Första världskriget - Övergripande,FREE_TEXT,"Jämför två orsaker till första världskriget. Vilken anser du var viktigast och varför?",,,,
Första världskriget - Övergripande,FREE_TEXT,"Hur har din förståelse av första världskriget förändrats under momentet? Vad visste du innan och vad vet du nu?",,,,
Första världskriget - Övergripande,FREE_TEXT,"Koppla första världskriget till idag: finns det paralleller mellan spänningarna i Europa 1914 och aktuella geopolitiska konflikter? Diskutera likheter och skillnader.",,,,
