topic,type,text,option1,option2,option3,option4,option5,correct
Globalisering_L6_Begrepp,mcq,"Ett IMPLICIT teoretiskt antagande i en debatttext är:","En teori som uttryckligen namnges","En teori som inte nämns men vars antaganden genomsyrar texten","En teori som kritiseras","En teori som refereras i fotnot","",2
Globalisering_Allman,mcq,"När Ericsson tillverkar baseband i Sverige men produktionsenheter runt om i världen är det ett exempel på:","Offshoring","Global värdekedja","Importsubstitution","Frihandelsavtal","",2
Globalisering_Allman,mcq,"JUST-IN-TIME-produktion är:","Att snabbt leverera ordrar","Produktion där varor görs precis när de behövs, kräver välfungerande transporter","En typ av offshoring","En politisk term","",2
Globalisering_Allman,mcq,"EU, FN och WTO är exempel på:","Globala företag","Internationella NGO:er","Överstatliga organisationer","Regionala allianser","",3
Globalisering_Allman,truefalse,"Globaliseringens fyra dimensioner (Held) rör sig alltid i samma riktning och tempo.","Sant","Falskt","","","",2
Globalisering_Allman,truefalse,"Enligt Wallerstein kan ett land ha centrum- och periferiverksamhet samtidigt.","Sant","Falskt","","","",1
Globalisering_Allman,truefalse,"Realismen anser att internationella institutioner som FN har stor självständig makt.","Sant","Falskt","","","",2
Globalisering_Allman,truefalse,"Enligt liberalismen minskar handelsberoende risken för militär konflikt.","Sant","Falskt","","","",1
Globalisering_Allman,truefalse,"Att analysera en fråga genom flera motstridiga perspektiv kallas partssammansatt analys.","Sant","Falskt","","","",1
Globalisering_Allman,truefalse,"Mjuk makt innebär att påverka genom militärt tvång.","Sant","Falskt","","","",2
Globalisering_Allman,short,"Nämn en av Held's fyra dimensioner av globalisering.","","","","","","Ekonomisk / Politisk / Kulturell / Social"
Globalisering_Allman,short,"Vad kallas positionen mellan centrum och periferi i Wallersteins modell?","","","","","","Semi-periferi"
Globalisering_Allman,short,"Vilken IR-teori antar att världen är anarkisk och att stater söker säkerhet?","","","","","","Realism"
Globalisering_Allman,short,"Ge ett exempel på ett överstatligt organ.","","","","","","EU / FN / WTO / ICC / NATO"
Globalisering_Allman,short,"Vilken teori gav vi för att analysera hur makt fördelas i globala värdekedjor?","","","","","","Centrum-periferi (Wallerstein)"
