topic,type,text,option1,option2,option3,option4,correctAnswer
"1914-1945 Aktör och struktur - Lektion 5: Mellankrigstid",MULTIPLE_CHOICE,"Vad var Stalins kollektivisering (från 1929)?","Ett utbildningsprogram","Ett försök att ombilda jordbruket genom att tvinga bönder in i kollektivjordbruk","Ett kulturprojekt","En internationell överenskommelse","Ett försök att ombilda jordbruket genom att tvinga bönder in i kollektivjordbruk"
"1914-1945 Aktör och struktur - Lektion 5: Mellankrigstid",MULTIPLE_CHOICE,"Vilket gemensamt STRUKTURELLT drag hade nazism och stalinism, trots olika innehåll?","Båda var demokratier","Båda var totalitära system med statsideologi, terror och massmobilisering","Båda var liberala","Båda var samma ideologi","Båda var totalitära system med statsideologi, terror och massmobilisering"
"1914-1945 Aktör och struktur - Lektion 5: Mellankrigstid",FREE_TEXT,"Förklara med egna ord hur en demokratisk republik (Weimar) kunde förvandlas till en totalitär diktatur. Nämn minst en aktör och minst en struktur.",,,,,
"1914-1945 Aktör och struktur - Lektion 6: Vägen till AVK",MULTIPLE_CHOICE,"Vad var 'appeasement' som policy?","Att stödja Hitler ekonomiskt","En policy att göra eftergifter för att undvika krig","En militär allians","En ekonomisk blockad","En policy att göra eftergifter för att undvika krig"
"1914-1945 Aktör och struktur - Lektion 6: Vägen till AVK",MULTIPLE_CHOICE,"Vilket land var INTE representerat vid Münchenfördraget 1938?","Tyskland","Storbritannien","Tjeckoslovakien (området som förhandlades)","Italien","Tjeckoslovakien (området som förhandlades)"
"1914-1945 Aktör och struktur - Lektion 6: Vägen till AVK",MULTIPLE_CHOICE,"Vad var chockerande med Molotov-Ribbentrop-pakten augusti 1939?","Att två ideologiska motståndare (nazism och kommunism) slöt avtal","Att Sovjet anföll Tyskland","Att USA deltog","Att Frankrike protesterade","Att två ideologiska motståndare (nazism och kommunism) slöt avtal"
"1914-1945 Aktör och struktur - Lektion 6: Vägen till AVK",FREE_TEXT,"Var Münchenfördraget 1938 ett rimligt beslut givet situationen, eller var det ett moraliskt misslyckande? Kort motivering.",,,,,
"1914-1945 Aktör och struktur - Lektion 7: AVK global",MULTIPLE_CHOICE,"När gick USA in i AVK?","1939 efter att Tyskland anföll Polen","December 1941 efter Pearl Harbor","1944 efter D-dagen","1942 efter Stalingrad","December 1941 efter Pearl Harbor"
"1914-1945 Aktör och struktur - Lektion 7: AVK global",MULTIPLE_CHOICE,"Vilket slag räknas som en militär vändpunkt på östfronten?","Kursk","Stalingrad","Leningrad","Moskva","Stalingrad"
"1914-1945 Aktör och struktur - Lektion 7: AVK global",MULTIPLE_CHOICE,"Ungefär hur många människor dog totalt i AVK?","10 miljoner","30 miljoner","70 miljoner","150 miljoner","70 miljoner"
"1914-1945 Aktör och struktur - Lektion 7: AVK global",FREE_TEXT,"Vilken enskild faktor — struktur eller aktör — förklarar bäst varför AVK blev så mycket mer förödande än FVK? Motivera kort.",,,,,
"1914-1945 Aktör och struktur - Lektion 8: Förintelsen I",MULTIPLE_CHOICE,"Vad var Wannseekonferensen (januari 1942)?","En konferens om fredsvillkoren efter AVK","Ett kort möte där nazistiska byråkrater koordinerade den 'slutliga lösningen' på 'judefrågan'","En konferens om kolonialpolitiken","Ett möte mellan Hitler och Stalin","Ett kort möte där nazistiska byråkrater koordinerade den 'slutliga lösningen' på 'judefrågan'"
"1914-1945 Aktör och struktur - Lektion 8: Förintelsen I",MULTIPLE_CHOICE,"Vad var syftet med eufemismer som 'Evakuierung' och 'Sonderbehandlung' i nazistisk språkbruk?","Att förenkla kommunikationen","Att dölja och distansera förövarna från vad som faktiskt gjordes (dödande)","Att skydda mot avlyssning","Att använda vetenskaplig terminologi","Att dölja och distansera förövarna från vad som faktiskt gjordes (dödande)"
"1914-1945 Aktör och struktur - Lektion 8: Förintelsen I",MULTIPLE_CHOICE,"Ungefär hur många judar mördades i Förintelsen?","600 000","1 miljon","6 miljoner","20 miljoner","6 miljoner"
"1914-1945 Aktör och struktur - Lektion 8: Förintelsen I",FREE_TEXT,"Vilket steg i Förintelsens stegvisa utveckling anser du var den 'point of no return' där strukturen låste sig? Motivera.",,,,,
"1914-1945 Aktör och struktur - Lektion 9: Förintelsen II",MULTIPLE_CHOICE,"Vad är Christopher Brownings huvudargument i 'Ordinary Men' (1992)?","Att alla tyskar var antisemiter","Att förövarna var 'vanliga män' som formades av konformitet, lydnad och gruppstryck","Att Hitler ensam bar ansvaret","Att Förintelsen var oundviklig","Att förövarna var 'vanliga män' som formades av konformitet, lydnad och gruppstryck"
"1914-1945 Aktör och struktur - Lektion 9: Förintelsen II",MULTIPLE_CHOICE,"Vad är Daniel Goldhagens huvudargument i 'Hitler's Willing Executioners' (1996)?","Att förövarna drevs av strukturell rutin","Att förövarna drevs av en specifikt tysk 'eliminatorisk antisemitism'","Att förövarna var tvungna","Att ingen riktigt visste","Att förövarna drevs av en specifikt tysk 'eliminatorisk antisemitism'"
"1914-1945 Aktör och struktur - Lektion 9: Förintelsen II",MULTIPLE_CHOICE,"Hur kopplar Browning vs Goldhagen-debatten till aktör/struktur-modellen?","Browning = struktur, Goldhagen = aktör (eller snarare ideologi som strukturerande kraft)","Båda använder samma modell","Ingen koppling","Goldhagen är strukturell","Browning = struktur, Goldhagen = aktör (eller snarare ideologi som strukturerande kraft)"
"1914-1945 Aktör och struktur - Lektion 9: Förintelsen II",FREE_TEXT,"Browning säger 'vanliga män', Goldhagen säger 'tysk antisemitism'. Vilken förklaring övertygar dig mest? Motivera.",,,,,
"1914-1945 Aktör och struktur - Övergripande",MULTIPLE_CHOICE,"Vilken av följande historiska händelser illustrerar BÄST hur ett aktörsbeslut skapar en struktur?","Sarajevo-attentatet 1914","Versaillesfördraget 1919","Wannseekonferensen 1942","Atombomben 1945","Versaillesfördraget 1919"
"1914-1945 Aktör och struktur - Övergripande",MULTIPLE_CHOICE,"Vilket begrepp fångar BÄST idén att ideologier som nazism och stalinism, trots olika innehåll, hade en liknande strukturell form?","Nationalism","Totalitarism","Liberalism","Demokrati","Totalitarism"
"1914-1945 Aktör och struktur - Övergripande",MULTIPLE_CHOICE,"Vilken av följande är den BÄSTA sammanfattningen av aktör/struktur-perspektivet?","Historia bestäms helt av individers val","Historia bestäms helt av opersonliga krafter","Människor handlar, men alltid inom strukturella ramar — båda perspektiven behövs","Människor spelar ingen roll alls","Människor handlar, men alltid inom strukturella ramar — båda perspektiven behövs"
"1914-1945 Aktör och struktur - Övergripande",FREE_TEXT,"Om du skulle förklara perioden 1914–1945 för någon som inte studerat den — vilka tre begrepp skulle du välja, och varför?",,,,,
"1914-1945 Aktör och struktur - Övergripande",FREE_TEXT,"Vem bär ansvaret för krigens katastrofer 1914–1945 — människorna som fattade besluten (aktörerna), eller de krafter som drev dem (strukturerna)? Motivera med minst TVÅ exempel från momentet.",,,,,
"1914-1945 Aktör och struktur - Övergripande",MULTIPLE_CHOICE,"Vilken person var Nationernas förbund knuten till — men avgjort aldrig deltog i?","Wilson (USA)","Clemenceau (Frankrike)","Churchill (UK)","Lenin (Ryssland)","Wilson (USA)"
"1914-1945 Aktör och struktur - Övergripande",FREE_TEXT,"Hur påverkar det din analys att både nazism och stalinism var totalitära, trots att de var ideologiska motståndare?",,,,,
